Day,Road Type,# Accidents
28 mar 2024,1,376
28 mar 2024,2,749
28 mar 2024,20,13
28 mar 2024,4,103
28 mar 2024,3,700
28 mar 2024,7,1145
29 mar 2024,20,13
29 mar 2024,4,42
29 mar 2024,3,204
29 mar 2024,1,263
29 mar 2024,6,134
29 mar 2024,7,552
29 mar 2024,10,1
29 mar 2024,17,3
29 mar 2024,2,406
30 mar 2024,7,627
30 mar 2024,17,4
30 mar 2024,2,410
30 mar 2024,6,189
30 mar 2024,20,8
30 mar 2024,3,242
30 mar 2024,4,55
30 mar 2024,1,239
31 mar 2024,7,639
31 mar 2024,3,276
31 mar 2024,2,470
31 mar 2024,6,170
31 mar 2024,5,1
31 mar 2024,1,290
31 mar 2024,20,9
31 mar 2024,17,2
31 mar 2024,4,44
1 abr 2024,4,165
1 abr 2024,17,9
1 abr 2024,2,858
1 abr 2024,10,1
1 abr 2024,7,1593
1 abr 2024,3,910
1 abr 2024,20,16
1 abr 2024,6,535
1 abr 2024,1,466
2 abr 2024,4,206
2 abr 2024,20,20
2 abr 2024,6,614
2 abr 2024,1,519
2 abr 2024,2,998
2 abr 2024,7,2129
2 abr 2024,10,1
2 abr 2024,17,3
2 abr 2024,3,1103
3 abr 2024,6,576
3 abr 2024,2,1027
3 abr 2024,3,1163
3 abr 2024,4,225
3 abr 2024,17,9
3 abr 2024,20,12
3 abr 2024,1,489
3 abr 2024,7,2181
4 abr 2024,7,2074
4 abr 2024,4,251
4 abr 2024,2,1112
4 abr 2024,3,1110
4 abr 2024,5,1
4 abr 2024,20,19
4 abr 2024,17,8
4 abr 2024,6,642
4 abr 2024,1,489
5 abr 2024,6,662
5 abr 2024,4,216
5 abr 2024,2,1187
5 abr 2024,20,14
5 abr 2024,3,1140
5 abr 2024,17,5
5 abr 2024,7,2404
5 abr 2024,1,570
6 abr 2024,17,2
6 abr 2024,1,517
6 abr 2024,3,1087
6 abr 2024,6,527
6 abr 2024,5,1
6 abr 2024,2,1089
6 abr 2024,7,2134
6 abr 2024,4,195
6 abr 2024,20,9
7 abr 2024,17,5
7 abr 2024,20,18
7 abr 2024,7,864
7 abr 2024,3,348
7 abr 2024,2,573
7 abr 2024,4,79
7 abr 2024,1,350
7 abr 2024,6,247
8 abr 2024,6,457
8 abr 2024,7,1837
8 abr 2024,4,176
8 abr 2024,1,512
8 abr 2024,2,1088
8 abr 2024,20,15
8 abr 2024,17,6
8 abr 2024,3,920
8 abr 2024,5,2
9 abr 2024,3,1284
9 abr 2024,1,903
9 abr 2024,6,804
9 abr 2024,7,3763
9 abr 2024,20,28
9 abr 2024,2,2209
9 abr 2024,4,348
9 abr 2024,17,12
9 abr 2024,5,1
10 abr 2024,17,12
10 abr 2024,1,989
10 abr 2024,6,749
10 abr 2024,3,1398
10 abr 2024,4,325
10 abr 2024,2,2284
10 abr 2024,20,34
10 abr 2024,7,3607
11 abr 2024,17,10
11 abr 2024,20,12
11 abr 2024,3,1290
11 abr 2024,10,1
11 abr 2024,1,992
11 abr 2024,7,3591
11 abr 2024,2,2160
11 abr 2024,6,724
11 abr 2024,4,325
12 abr 2024,6,843
12 abr 2024,1,1016
12 abr 2024,3,1493
12 abr 2024,10,1
12 abr 2024,5,2
12 abr 2024,2,2401
12 abr 2024,20,19
12 abr 2024,4,408
12 abr 2024,17,8
12 abr 2024,7,3984
13 abr 2024,3,1215
13 abr 2024,6,703
13 abr 2024,10,1
13 abr 2024,2,1698
13 abr 2024,1,738
13 abr 2024,4,259
13 abr 2024,20,25
13 abr 2024,7,2940
13 abr 2024,17,8
14 abr 2024,4,92
14 abr 2024,20,17
14 abr 2024,5,3
14 abr 2024,7,959
14 abr 2024,2,635
14 abr 2024,1,375
14 abr 2024,3,362
14 abr 2024,17,7
14 abr 2024,6,275
15 abr 2024,20,17
15 abr 2024,3,972
15 abr 2024,6,588
15 abr 2024,1,744
15 abr 2024,5,2
15 abr 2024,10,1
15 abr 2024,2,1687
15 abr 2024,4,241
15 abr 2024,17,4
15 abr 2024,7,2699
16 abr 2024,20,27
16 abr 2024,6,801
16 abr 2024,1,1043
16 abr 2024,4,335
16 abr 2024,3,1363
16 abr 2024,2,2278
16 abr 2024,7,3523
16 abr 2024,10,3
17 abr 2024,6,756
17 abr 2024,3,1339
17 abr 2024,5,2
17 abr 2024,2,2278
17 abr 2024,1,1001
17 abr 2024,20,20
17 abr 2024,4,336
17 abr 2024,17,9
17 abr 2024,7,3400
18 abr 2024,4,368
18 abr 2024,5,3
18 abr 2024,1,1035
18 abr 2024,2,2160
18 abr 2024,20,26
18 abr 2024,6,756
18 abr 2024,10,1
18 abr 2024,7,3638
18 abr 2024,3,1376
18 abr 2024,17,9
19 abr 2024,1,999
19 abr 2024,7,4104
19 abr 2024,5,1
19 abr 2024,20,30
19 abr 2024,3,1703
19 abr 2024,2,2375
19 abr 2024,17,14
19 abr 2024,4,367
19 abr 2024,6,869
20 abr 2024,7,3067
20 abr 2024,10,1
20 abr 2024,2,1652
20 abr 2024,3,1281
20 abr 2024,1,736
20 abr 2024,17,7
20 abr 2024,6,751
20 abr 2024,4,271
20 abr 2024,20,28
21 abr 2024,17,7
21 abr 2024,4,83
21 abr 2024,10,2
21 abr 2024,2,605
21 abr 2024,1,323
21 abr 2024,3,465
21 abr 2024,5,2
21 abr 2024,7,898
21 abr 2024,6,258
21 abr 2024,20,20
22 abr 2024,5,2
22 abr 2024,1,708
22 abr 2024,3,1147
22 abr 2024,17,6
22 abr 2024,20,22
22 abr 2024,6,479
22 abr 2024,2,1595
22 abr 2024,7,2545
22 abr 2024,4,237
23 abr 2024,17,14
23 abr 2024,2,2105
23 abr 2024,7,3273
23 abr 2024,4,347
23 abr 2024,3,1221
23 abr 2024,6,731
23 abr 2024,5,2
23 abr 2024,20,17
23 abr 2024,1,923
24 abr 2024,7,3293
24 abr 2024,6,843
24 abr 2024,2,2070
24 abr 2024,3,1487
24 abr 2024,4,366
24 abr 2024,17,10
24 abr 2024,1,876
24 abr 2024,20,22
25 abr 2024,10,1
25 abr 2024,17,6
25 abr 2024,20,31
25 abr 2024,1,898
25 abr 2024,3,1371
25 abr 2024,4,359
25 abr 2024,7,3493
25 abr 2024,2,2065
25 abr 2024,6,750
26 abr 2024,20,21
26 abr 2024,7,3371
26 abr 2024,3,1478
26 abr 2024,6,761
26 abr 2024,5,1
26 abr 2024,2,1704
26 abr 2024,4,330
26 abr 2024,1,774
26 abr 2024,17,5
27 abr 2024,2,1501
27 abr 2024,20,21
27 abr 2024,17,8
27 abr 2024,3,1184
27 abr 2024,4,257
27 abr 2024,1,736
27 abr 2024,6,793
27 abr 2024,5,2
27 abr 2024,7,2903
28 abr 2024,1,384
28 abr 2024,6,407
28 abr 2024,4,93
28 abr 2024,7,1135
28 abr 2024,17,16
28 abr 2024,20,13
28 abr 2024,5,1
28 abr 2024,3,409
28 abr 2024,2,643
29 abr 2024,17,6
29 abr 2024,6,599
29 abr 2024,2,1551
29 abr 2024,20,21
29 abr 2024,4,236
29 abr 2024,3,1008
29 abr 2024,7,2386
29 abr 2024,1,607
30 abr 2024,5,2
30 abr 2024,17,3
30 abr 2024,20,15
30 abr 2024,2,2150
30 abr 2024,7,3421
30 abr 2024,1,902
30 abr 2024,3,1210
30 abr 2024,4,317
30 abr 2024,6,694
30 abr 2024,10,1
1 may 2024,5,1
1 may 2024,20,14
1 may 2024,6,357
1 may 2024,7,1455
1 may 2024,2,818
1 may 2024,17,6
1 may 2024,3,510
1 may 2024,4,125
1 may 2024,1,484
2 may 2024,3,975
2 may 2024,2,1633
2 may 2024,1,710
2 may 2024,4,226
2 may 2024,10,1
2 may 2024,6,665
2 may 2024,17,2
2 may 2024,7,2890
2 may 2024,20,23
3 may 2024,4,308
3 may 2024,1,968
3 may 2024,7,3810
3 may 2024,2,2025
3 may 2024,3,1474
3 may 2024,20,15
3 may 2024,6,782
3 may 2024,17,11
4 may 2024,1,691
4 may 2024,7,3009
4 may 2024,6,777
4 may 2024,2,1659
4 may 2024,4,232
4 may 2024,20,21
4 may 2024,17,8
4 may 2024,3,1213
4 may 2024,10,1
5 may 2024,10,1
5 may 2024,7,815
5 may 2024,3,277
5 may 2024,5,1
5 may 2024,2,569
5 may 2024,6,265
5 may 2024,20,10
5 may 2024,4,81
5 may 2024,17,3
5 may 2024,1,288
6 may 2024,3,1130
6 may 2024,5,1
6 may 2024,4,239
6 may 2024,17,8
6 may 2024,2,1548
6 may 2024,1,649
6 may 2024,7,2463
6 may 2024,20,22
6 may 2024,6,577
7 may 2024,2,1965
7 may 2024,6,758
7 may 2024,20,14
7 may 2024,1,748
7 may 2024,4,314
7 may 2024,5,1
7 may 2024,7,2844
7 may 2024,3,1101
7 may 2024,17,13
7 may 2024,10,1
8 may 2024,1,934
8 may 2024,3,1511
8 may 2024,7,3525
8 may 2024,2,2159
8 may 2024,6,817
8 may 2024,10,1
8 may 2024,4,342
8 may 2024,20,26
8 may 2024,17,6
9 may 2024,5,1
9 may 2024,6,793
9 may 2024,1,958
9 may 2024,20,42
9 may 2024,4,347
9 may 2024,10,2
9 may 2024,7,3725
9 may 2024,3,1446
9 may 2024,17,11
9 may 2024,2,2219
10 may 2024,20,29
10 may 2024,3,1851
10 may 2024,6,953
10 may 2024,2,2308
10 may 2024,1,1024
10 may 2024,4,349
10 may 2024,7,4201
10 may 2024,17,11
10 may 2024,5,2
11 may 2024,5,1
11 may 2024,7,2127
11 may 2024,17,5
11 may 2024,3,1043
11 may 2024,20,20
11 may 2024,1,471
11 may 2024,2,1167
11 may 2024,4,195
11 may 2024,6,613
12 may 2024,17,3
12 may 2024,6,244
12 may 2024,4,73
12 may 2024,1,281
12 may 2024,7,797
12 may 2024,3,337
