Date,Country,City,Street,Location,Avg Reliability
6 may 2025,MX,Guadalajara,Periférico Nte. Manuel Gómez Morín,Point(-103.293865 20.712582),6
6 may 2025,MX,Guadalajara,Av. González Gallo Izquierda,Point(-103.330055 20.640935),6
6 may 2025,MX,Zapopan,Av. Mariano Otero,Point(-103.411669 20.643274),10
6 may 2025,MX,Zapopan,Av. Inglaterra,Point(-103.45276 20.699459),10
6 may 2025,MX,Guadalajara,Av. Historiadores,Point(-103.294729 20.64828),10
6 may 2025,MX,Tlaquepaque,Av. Francisco Silva Romero,Point(-103.299452 20.637021),5
6 may 2025,MX,Guadalajara,Av. de las Américas,Point(-103.379233 20.709869),10
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.423225 20.656947),6
6 may 2025,MX,Guadalajara,Av. Miguel Hidalgo y Costilla,Point(-103.353604 20.677209),10
6 may 2025,MX,Guadalajara,Abascal y Souza,Point(-103.336004 20.683325),5
6 may 2025,MX,Zapopan,Av. Manuel J. Clouthier / Av. Guadalupe,Point(-103.41378 20.677909),5
6 may 2025,MX,Guadalajara,Julio Zárate,Point(-103.299595 20.662837),10
6 may 2025,MX,Tlaquepaque,Calz. Lázaro Cárdenas,Point(-103.307901 20.624189),9
6 may 2025,MX,Zapopan,Av. Mariano Otero,Point(-103.402855 20.648478),10
6 may 2025,MX,Guadalajara,Av. Enrique Díaz de León Sur,Point(-103.35973 20.66425),5
6 may 2025,MX,Tlaquepaque,Camino Real Agua Amarilla,Point(-103.381075 20.565803),5
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.402966 20.607301),5
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.398543 20.711865),5
6 may 2025,MX,Tlaquepaque,Av. Francisco Silva Romero,Point(-103.297018 20.633134),7
6 may 2025,MX,Guadalajara,Luis Pérez Verdía,Point(-103.377274 20.68124),5
6 may 2025,MX,Guadalajara,Av. de las Américas,Point(-103.377164 20.706879),5
6 may 2025,MX,Tlaquepaque,Calz. Lázaro Cárdenas,Point(-103.329441 20.626419),5
6 may 2025,MX,Zapopan,Av. Manuel Ávila Camacho,Point(-103.375346 20.712341),5
6 may 2025,MX,Tlaquepaque,Calz. Lázaro Cárdenas,Point(-103.326999 20.62507),5
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.415328 20.691979),5
6 may 2025,MX,Tlaquepaque,Calz. Lázaro Cárdenas,Point(-103.328811 20.626007),10
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.427045 20.614838),5
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.420388 20.685879),10
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.434635 20.627734),10
6 may 2025,MX,Zapopan,Paseo Solares,Point(-103.461314 20.726325),6
6 may 2025,MX,Zapopan,Av. Mariano Otero,Point(-103.406766 20.64629),5
6 may 2025,MX,Zapopan,Adolfo Ruiz Cortines,Point(-103.435508 20.60534),5
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.422453 20.648997),10
6 may 2025,MX,Guadalajara,Lateral Periférico Nte. Manuel Gómez Morín,Point(-103.330542 20.723348),5
6 may 2025,MX,Guadalajara,Av. Montevideo,Point(-103.398646 20.691986),6
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.455259 20.678565),10
6 may 2025,MX,Zapopan,Santa Catalina,Point(-103.419767 20.726907),7
6 may 2025,MX,Guadalajara,Av. Cristóbal Colón,Point(-103.385587 20.625883),5
6 may 2025,MX,Zapopan,Av. López Mateos Sur,Point(-103.402711 20.6513),7
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.359614 20.713855),7
6 may 2025,MX,Tlaquepaque,null,Point(-103.403591 20.609164),5
6 may 2025,MX,Tlaquepaque,Lateral Periférico Sur Manuel Gómez Morín,Point(-103.364013 20.578209),5
6 may 2025,MX,Guadalajara,Otranto,Point(-103.377054 20.690598),10
6 may 2025,MX,Guadalajara,Av. de las Américas,Point(-103.377321 20.707221),5
6 may 2025,MX,Guadalajara,Av. Fray Antonio Alcalde,Point(-103.345907 20.715034),5
6 may 2025,MX,Zapopan,Av. Ignacio L. Vallarta,Point(-103.410682 20.676549),6
6 may 2025,MX,Zapopan,Av. Tesistán,Point(-103.402802 20.729849),6
6 may 2025,MX,Guadalajara,Belén,Point(-103.34549 20.6852),5
6 may 2025,MX,Tlaquepaque,Av. Niños Héroes,Point(-103.316668 20.638679),10
6 may 2025,MX,Zapopan,Av. Juan Palomar y Arias,Point(-103.425395 20.718138),7
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.39047 20.596299),5
6 may 2025,MX,Zapopan,Lateral Periférico Pte. Manuel Gómez Morín,Point(-103.454868 20.677558),10
6 may 2025,MX,Guadalajara,Av. López Mateos Norte,Point(-103.379903 20.685712),5
6 may 2025,MX,Zapopan,Av. Industria Textil,Point(-103.391549 20.743787),5
6 may 2025,MX,Zapopan,Av. Juan Pablo II,Point(-103.399762 20.735688),8
6 may 2025,MX,Zapopan,Carretera a Saltillo,Point(-103.343101 20.74818),10
6 may 2025,MX,Zapopan,Periférico Nte. Manuel Gómez Morín,Point(-103.383958 20.739708),5
6 may 2025,MX,Zapopan,Lateral Periférico Nte. Manuel Gómez Morín,Point(-103.346381 20.728704),5
6 may 2025,MX,Guadalajara,Fray Andrés de Urdaneta,Point(-103.37941 20.64597),5
6 may 2025,MX,Zapopan,Av. Hidalgo,Point(-103.388146 20.72118),5
6 may 2025,MX,Zapopan,Av. General Ramón Corona,Point(-103.454186 20.731409),5
6 may 2025,MX,Guadalajara,Av. 8 de Julio,Point(-103.371145 20.624026),8
6 may 2025,MX,Guadalajara,Av. Jesús Michel González,Point(-103.374717 20.614466),5
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.32725 20.587337),10
6 may 2025,MX,Guadalajara,Av. Jesús Michel González,Point(-103.373879 20.617378),10
6 may 2025,MX,Zapopan,null,Point(-103.42293 20.720928),8
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.435359 20.71226),6
6 may 2025,MX,Tlaquepaque,Juan de la Barrera,Point(-103.336883 20.604232),5
6 may 2025,MX,Zapopan,Av. Cuauhtémoc,Point(-103.408019 20.650606),10
6 may 2025,MX,Zapopan,Av. López Mateos Sur,Point(-103.408975 20.641905),6
6 may 2025,MX,Zapopan,Av. Acueducto,Point(-103.423673 20.734749),5
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.371026 20.714024),5
6 may 2025,MX,Zapopan,Av. Tesistán,Point(-103.414267 20.739755),5
6 may 2025,MX,Tlaquepaque,Av. Jesús Michel González,Point(-103.383948 20.587811),5
6 may 2025,MX,Guadalajara,Av. Cruz del Sur,Point(-103.372087 20.653209),6
6 may 2025,MX,Tlaquepaque,Carretera a Los Altos,Point(-103.287413 20.619528),7
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.41988 20.640751),6
6 may 2025,MX,Guadalajara,Río Mascota,Point(-103.329098 20.646532),6
6 may 2025,MX,Guadalajara,Siete Colinas,Point(-103.326805 20.70833),5
6 may 2025,MX,Zapopan,Av. Zoquipan,Point(-103.366074 20.717047),5
6 may 2025,MX,Tlaquepaque,Juárez,Point(-103.441765 20.558099),5
6 may 2025,MX,Tlaquepaque,Av. Magallanes,Point(-103.441808 20.561267),5
6 may 2025,MX,Zapopan,Paseo Solares,Point(-103.457134 20.725645),6
6 may 2025,MX,Zapopan,Av. Juan Palomar y Arias,Point(-103.426734 20.706948),6
6 may 2025,MX,Tlaquepaque,Av. Jesús Michel González,Point(-103.388286 20.577678),5
6 may 2025,MX,Zapopan,Av. José Parres Arias,Point(-103.387624 20.730162),5
6 may 2025,MX,Zapopan,Lateral Av. Mariano Otero,Point(-103.40137 20.649476),5
6 may 2025,MX,Guadalajara,Av. Los Arcos,Point(-103.38427 20.664256),5
6 may 2025,MX,Zapopan,Av. Manuel J. Clouthier,Point(-103.420356 20.664725),6
6 may 2025,MX,Zapopan,Av. Cuauhtémoc,Point(-103.407892 20.645904),6
6 may 2025,MX,Guadalajara,Lateral Av. Mariano Otero,Point(-103.393099 20.654252),9
6 may 2025,MX,Guadalajara,Valentín Gómez Farías,Point(-103.341321 20.672718),5
6 may 2025,MX,Zapopan,Industria Metalúrgica,Point(-103.395579 20.740684),10
6 may 2025,MX,Guadalajara,Francisco Zarco,Point(-103.351889 20.685871),6
6 may 2025,MX,Zapopan,Av. Acueducto,Point(-103.412534 20.716677),6
6 may 2025,MX,Zapopan,null,Point(-103.479365 20.717502),5
6 may 2025,MX,Zapopan,Blvd. Bugambilias,Point(-103.446115 20.602329),10
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.390988 20.596923),10
6 may 2025,MX,Guadalajara,Av. Miguel Hidalgo y Costilla,Point(-103.353698 20.677205),8
6 may 2025,MX,Guadalajara,Jesús García,Point(-103.366941 20.68912),5
6 may 2025,MX,Zapopan,Gardenia,Point(-103.465267 20.643383),5
6 may 2025,MX,Guadalajara,Av. Malecón,Point(-103.270109 20.660592),5
6 may 2025,MX,Guadalajara,Av. Manuel Ávila Camacho,Point(-103.362841 20.704532),5
6 may 2025,MX,Zapopan,Santa Rita,Point(-103.406413 20.66484),5
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.452908 20.670038),5
6 may 2025,MX,Guadalajara,Av. Paseo de la Arboleda,Point(-103.387317 20.644206),5
6 may 2025,MX,Zapopan,Av. Guadalupe,Point(-103.432402 20.659069),5
6 may 2025,MX,Zapopan,Av. José Guadalupe Gallo,Point(-103.431506 20.593643),5
6 may 2025,MX,Zapopan,Av. Juan Gil Preciado,Point(-103.406766 20.74087),6
6 may 2025,MX,Zapopan,Av. Manuel J. Clouthier,Point(-103.42108 20.662952),10
6 may 2025,MX,Zapopan,Industria Maderera,Point(-103.389364 20.746614),7
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.4394 20.63906),5
6 may 2025,MX,Guadalajara,Calz. Lázaro Cárdenas,Point(-103.364816 20.64902),10
6 may 2025,MX,Zapopan,Av. Juan Gil Preciado,Point(-103.413965 20.745882),5
6 may 2025,MX,Guadalajara,Av. 16 de Septiembre,Point(-103.350442 20.660952),5
6 may 2025,MX,Guadalajara,Circunvalación Agustín Yáñez,Point(-103.355787 20.65919),5
6 may 2025,MX,Zapopan,Lateral Av. Ignacio L. Vallarta,Point(-103.439548 20.683236),5
6 may 2025,MX,Zapopan,Periférico Nte. Manuel Gómez Morín,Point(-103.41437 20.728772),6
6 may 2025,MX,Guadalajara,Pedro Moreno,Point(-103.367891 20.675442),6
6 may 2025,MX,Zapopan,Cantera Morada,Point(-103.355933 20.741417),5
6 may 2025,MX,Zapopan,Calz. Lázaro Cárdenas,Point(-103.415664 20.67755),6
6 may 2025,MX,Tlaquepaque,Juan de la Barrera,Point(-103.338404 20.607214),5
6 may 2025,MX,Zapopan,Av. Acueducto,Point(-103.411217 20.714978),5
6 may 2025,MX,Guadalajara,Cuitláhuac,Point(-103.34592 20.667145),6
6 may 2025,MX,Zapopan,Av. 5 de Mayo,Point(-103.441657 20.710431),6
6 may 2025,MX,Guadalajara,Calz. del Federalismo Sur,Point(-103.356131 20.664103),5
6 may 2025,MX,Zapopan,México / Aeropuerto / Puerto Vallarta,Point(-103.421199 20.681394),5
6 may 2025,MX,Zapopan,Av. Guadalupe,Point(-103.42299 20.662462),5
6 may 2025,MX,Zapopan,Av. Mariano Otero,Point(-103.418599 20.638843),6
6 may 2025,MX,Guadalajara,Av. López Mateos Norte,Point(-103.377491 20.689421),10
6 may 2025,MX,Guadalajara,null,Point(-103.386961 20.674249),5
6 may 2025,MX,Guadalajara,Francisco Javier Gamboa,Point(-103.377283 20.674639),5
6 may 2025,MX,Zapopan,Lateral Av. Juan Gil Preciado,Point(-103.433354 20.759882),5
6 may 2025,MX,Guadalajara,Calz. Lázaro Cárdenas,Point(-103.344156 20.637631),10
6 may 2025,MX,Guadalajara,Esteban Alatorre,Point(-103.300937 20.674008),6
6 may 2025,MX,Guadalajara,Calz. Lázaro Cárdenas,Point(-103.34406 20.637567),5
6 may 2025,MX,Guadalajara,Circunvalación División del Norte,Point(-103.360634 20.706994),5
6 may 2025,MX,Tlaquepaque,Chapala,Point(-103.384611 20.585916),5
6 may 2025,MX,Zapopan,Av. Guadalajara,Point(-103.418975 20.772037),6
6 may 2025,MX,Tlaquepaque,Lateral Calz. Lázaro Cárdenas,Point(-103.330095 20.626413),5
6 may 2025,MX,Zapopan,Av. Guadalupe,Point(-103.433649 20.658525),5
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.426664 20.614497),5
6 may 2025,MX,Tlaquepaque,Lateral Carretera a Los Altos,Point(-103.288226 20.620855),7
6 may 2025,MX,Tlaquepaque,Prol. Av. Colón,Point(-103.413318 20.592218),5
6 may 2025,MX,Guadalajara,Av. López Mateos Norte,Point(-103.379553 20.68636),5
6 may 2025,MX,Tlaquepaque,Adolf B. Horn Jr.,Point(-103.363386 20.575329),5
6 may 2025,MX,Zapopan,null,Point(-103.413059 20.715171),5
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.40432 20.607664),9
6 may 2025,MX,Guadalajara,Circunvalación División del Norte,Point(-103.339995 20.701941),7
6 may 2025,MX,Zapopan,Av. Sierra de Tapalpa,Point(-103.412776 20.619517),5
6 may 2025,MX,Guadalajara,Periférico Nte. Manuel Gómez Morín,Point(-103.28731 20.710531),5
6 may 2025,MX,Zapopan,Industria,Point(-103.389175 20.724703),5
6 may 2025,MX,Zapopan,Lateral Periférico Pte. Manuel Gómez Morín,Point(-103.431522 20.622137),5
6 may 2025,MX,Zapopan,Periférico Sur Manuel Gómez Morín,Point(-103.422782 20.612253),5
6 may 2025,MX,Zapopan,Lateral Av. Juan Gil Preciado,Point(-103.434056 20.760395),5
6 may 2025,MX,Guadalajara,Av. Miguel Hidalgo y Costilla,Point(-103.358986 20.677118),5
6 may 2025,MX,Guadalajara,Lateral Av. López Mateos Norte,Point(-103.376357 20.691347),6
6 may 2025,MX,Guadalajara,Mar Mármara,Point(-103.364023 20.703895),5
6 may 2025,MX,Zapopan,Av. Valdepeñas,Point(-103.400453 20.754726),5
6 may 2025,MX,Zapopan,Lateral Calz. Lázaro Cárdenas,Point(-103.411265 20.674647),6
6 may 2025,MX,Guadalajara,Periférico Nte. Manuel Gómez Morín,Point(-103.275471 20.697522),5
6 may 2025,MX,Zapopan,Arco de la Estrella,Point(-103.411749 20.743266),5
6 may 2025,MX,Guadalajara,Av. Mariano Otero,Point(-103.380671 20.661298),5
6 may 2025,MX,Guadalajara,Fray Andrés de Urdaneta,Point(-103.370493 20.641032),6
6 may 2025,MX,Guadalajara,Av. Benito Juárez,Point(-103.359141 20.674806),5
6 may 2025,MX,Zapopan,Paseo Solares,Point(-103.453941 20.725493),8
6 may 2025,MX,Zapopan,Lateral Periférico Pte. Manuel Gómez Morín,Point(-103.427774 20.71607),6
6 may 2025,MX,Guadalajara,Calz. Lázaro Cárdenas,Point(-103.373483 20.653708),10
6 may 2025,MX,Guadalajara,Calz. Lázaro Cárdenas,Point(-103.344995 20.63819),8
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.41974 20.639762),5
6 may 2025,MX,Zapopan,Lateral Av. López Mateos Sur,Point(-103.415334 20.632474),6
6 may 2025,MX,Zapopan,Av. de las Américas,Point(-103.387914 20.7188),6
6 may 2025,MX,Guadalajara,Fresno,Point(-103.365288 20.655499),5
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.380087 20.58482),5
6 may 2025,MX,Guadalajara,Brasilia,Point(-103.37909 20.707907),5
6 may 2025,MX,Guadalajara,Circunvalación División del Norte,Point(-103.338729 20.701376),5
6 may 2025,MX,Guadalajara,Basilio Vadillo,Point(-103.31388 20.675022),10
6 may 2025,MX,Zapopan,Industria Mecánica,Point(-103.390378 20.742681),10
6 may 2025,MX,Guadalajara,Av. de las Américas,Point(-103.376918 20.705684),5
6 may 2025,MX,Guadalajara,Av. de las Américas,Point(-103.373314 20.69335),10
6 may 2025,MX,Guadalajara,Salvador López Chávez,Point(-103.339141 20.64922),10
6 may 2025,MX,Zapopan,Av. del Servidor Público,Point(-103.43107 20.730496),9
6 may 2025,MX,Zapopan,Av. Acueducto,Point(-103.421416 20.729761),5
6 may 2025,MX,Guadalajara,Calle 7 / Longinos Cadena,Point(-103.38033 20.631618),5
6 may 2025,MX,Guadalajara,Pablo Valdez,Point(-103.333806 20.682131),6
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.414 20.610042),6
6 may 2025,MX,Guadalajara,Retorno,Point(-103.357984 20.707398),6
6 may 2025,MX,Zapopan,Bosques Vallarta,Point(-103.476756 20.716706),5
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.45512 20.676205),5
6 may 2025,MX,Guadalajara,Av. Enrique Díaz de León Nte.,Point(-103.359267 20.680831),5
6 may 2025,MX,Zapopan,Av. Central Guillermo Gonzalez Camarena,Point(-103.423798 20.721094),6
6 may 2025,MX,Guadalajara,Libertad,Point(-103.358481 20.671578),9
6 may 2025,MX,Zapopan,Av. Guadalajara,Point(-103.430402 20.759511),6
6 may 2025,MX,Tlaquepaque,Prol. Av. Las Fuentes,Point(-103.403929 20.611396),5
6 may 2025,MX,Guadalajara,Av. Cristóbal Colón,Point(-103.366812 20.65027),5
6 may 2025,MX,Zapopan,Av. de la Mancha,Point(-103.396973 20.745676),6
6 may 2025,MX,Tlaquepaque,Carretera a Los Altos,Point(-103.295135 20.630858),5
6 may 2025,MX,Zapopan,Lateral Av. Mariano Otero,Point(-103.400279 20.649828),5
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.45513 20.679259),10
6 may 2025,MX,Guadalajara,Prisciliano Sánchez,Point(-103.344895 20.672771),5
6 may 2025,MX,Guadalajara,Lateral Calz. Lázaro Cárdenas,Point(-103.361473 20.647639),5
6 may 2025,MX,Guadalajara,Periférico Nte. Manuel Gómez Morín,Point(-103.33582 20.725206),5
6 may 2025,MX,Guadalajara,Juan de Dios Robledo,Point(-103.30929 20.685533),10
6 may 2025,MX,Zapopan,Av. Tesistán,Point(-103.403377 20.73041),5
6 may 2025,MX,Guadalajara,Av. 8 de Julio,Point(-103.36359 20.641793),10
6 may 2025,MX,Tlaquepaque,Privada de Cabañas,Point(-103.305494 20.633918),5
6 may 2025,MX,Tlaquepaque,null,Point(-103.32267 20.623918),6
6 may 2025,MX,Zapopan,Periférico Nte. Manuel Gómez Morín,Point(-103.343456 20.727788),8
6 may 2025,MX,Zapopan,Libra,Point(-103.412831 20.678371),5
6 may 2025,MX,Guadalajara,Av. Belisario Domínguez,Point(-103.322895 20.693877),5
6 may 2025,MX,Zapopan,Calz. del Federalismo Norte,Point(-103.354403 20.715557),7
6 may 2025,MX,Zapopan,null,Point(-103.475077 20.725614),5
6 may 2025,MX,Tlaquepaque,Av. Jesús Michel González,Point(-103.386543 20.580556),5
6 may 2025,MX,Guadalajara,Av. Revolución,Point(-103.305436 20.647328),7
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.444417 20.708242),5
6 may 2025,MX,Zapopan,Santo Tomás de Aquino,Point(-103.422752 20.666871),5
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.3382 20.581377),10
6 may 2025,MX,Zapopan,Av. Juan Pablo II,Point(-103.399891 20.735783),5
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.406493 20.63045),5
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.411636 20.707678),10
6 may 2025,MX,Zapopan,Calz. Central,Point(-103.443913 20.68467),5
6 may 2025,MX,Zapopan,Av. Pablo Neruda,Point(-103.412098 20.691748),5
6 may 2025,MX,Zapopan,Carriles Centrales,Point(-103.360144 20.733558),6
6 may 2025,MX,Tlaquepaque,Av. Jesús Michel González,Point(-103.389106 20.575085),10
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.415273 20.695516),5
6 may 2025,MX,Guadalajara,Av. Juan Pablo II,Point(-103.289752 20.70025),5
6 may 2025,MX,Zapopan,Av. Río Blanco,Point(-103.374346 20.751188),5
6 may 2025,MX,Zapopan,Avenida Patria,Point(-103.408175 20.709564),8
6 may 2025,MX,Zapopan,Av. Guadalajara,Point(-103.418086 20.774457),5
6 may 2025,MX,Guadalajara,Av. Patria,Point(-103.35561 20.715519),5
6 may 2025,MX,Zapopan,Av. del Bajío,Point(-103.462046 20.698069),10
6 may 2025,MX,Zapopan,Av. Juan Gil Preciado,Point(-103.431142 20.758378),5
6 may 2025,MX,Guadalajara,Av. Cristóbal Colón,Point(-103.389426 20.621215),10
6 may 2025,MX,Guadalajara,Joaquín Téllez,Point(-103.295846 20.723759),6
6 may 2025,MX,Zapopan,Av. Juan Pablo II,Point(-103.388654 20.7287),7
6 may 2025,MX,Tlaquepaque,Carretera a Los Altos,Point(-103.292437 20.626983),7
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.415463 20.690392),5
6 may 2025,MX,Zapopan,Prol. Mariano Otero,Point(-103.470636 20.622967),5
6 may 2025,MX,Guadalajara,Reforma,Point(-103.361702 20.679966),5
6 may 2025,MX,Guadalajara,Calz. Lázaro Cárdenas,Point(-103.388771 20.662074),6
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.335956 20.582564),5
6 may 2025,MX,Zapopan,Lateral Av. Juan Gil Preciado,Point(-103.415206 20.747179),5
6 may 2025,MX,Tlaquepaque,Hacienda de La Calerilla,Point(-103.400437 20.587095),5
6 may 2025,MX,Zapopan,Av. Acueducto,Point(-103.419355 20.724739),5
6 may 2025,MX,Guadalajara,Sierra Nevada,Point(-103.331279 20.689474),6
6 may 2025,MX,Tlaquepaque,Incalpa,Point(-103.338186 20.577121),5
6 may 2025,MX,Guadalajara,Av. Pablo Neruda,Point(-103.396419 20.695631),5
6 may 2025,MX,Tlaquepaque,null,Point(-103.361654 20.582702),7
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.449857 20.664093),5
6 may 2025,MX,Tlaquepaque,Periférico Sur Manuel Gómez Morín,Point(-103.33407 20.583599),5
6 may 2025,MX,Zapopan,Lateral Av. Juan Gil Preciado,Point(-103.442716 20.766697),5
6 may 2025,MX,Zapopan,Lateral Av. López Mateos Sur,Point(-103.407646 20.643613),5
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.422614 20.653343),5
6 may 2025,MX,Zapopan,Lateral Av. Juan Gil Preciado,Point(-103.430876 20.758394),5
6 may 2025,MX,Guadalajara,Calle 12-A,Point(-103.351545 20.643738),5
6 may 2025,MX,Zapopan,Av. Santa Margarita,Point(-103.430415 20.729988),5
6 may 2025,MX,Zapopan,Av. Patria,Point(-103.415321 20.691616),5
6 may 2025,MX,Zapopan,null,Point(-103.410101 20.71273),5
6 may 2025,MX,Zapopan,Lateral Av. López Mateos Sur,Point(-103.401591 20.652775),6
6 may 2025,MX,Zapopan,Av. Campo Real Poniente,Point(-103.443758 20.78973),10
6 may 2025,MX,Zapopan,Prol. Mariano Otero,Point(-103.464349 20.625549),5
6 may 2025,MX,Zapopan,Valle de los Imperios,Point(-103.426556 20.781413),10
6 may 2025,MX,Zapopan,Periférico Pte. Manuel Gómez Morín,Point(-103.440241 20.710019),8
6 may 2025,MX,Zapopan,Prol. Mariano Otero,Point(-103.4653 20.625165),5
